iter	Passed	Remaining
257	1591	4576
258	1595	4565
259	1601	4559
260	1607	4551
261	1613	4543
262	1618	4534
263	1623	4525
264	1629	4518
265	1634	4509
266	1640	4502
267	1645	4493
268	1652	4489
269	1658	4484
270	1665	4479
271	1671	4474
272	1677	4468
273	1684	4462
274	1689	4454
275	1695	4447
276	1700	4439
277	1706	4431
278	1711	4423
279	1717	4415
280	1722	4408
281	1728	4400
282	1733	4390
283	1738	4384
284	1744	4375
285	1749	4368
286	1754	4359
287	1759	4349
288	1764	4341
289	1769	4331
290	1773	4322
291	1779	4313
292	1783	4304
293	1788	4295
294	1794	4288
295	1799	4280
296	1805	4273
297	1810	4265
298	1817	4260
299	1823	4255
300	1829	4249
301	1835	4241
302	1841	4235
303	1846	4228
304	1853	4223
305	1859	4216
306	1865	4211
307	1870	4203
308	1875	4194
309	1881	4186
310	1886	4179
311	1892	4172
312	1897	4165
313	1902	4157
314	1908	4149
315	1913	4141
316	1919	4134
317	1924	4127
318	1929	4119
319	1936	4114
320	1941	4107
321	1947	4099
322	1952	4093
323	1958	4086
324	1963	4079
325	1969	4071
326	1974	4063
327	1978	4054
328	1984	4046
329	1991	4042
330	1996	4034
331	2001	4027
332	2006	4019
333	2013	4014
334	2018	4006
335	2023	3999
336	2028	3990
337	2033	3982
338	2037	3973
339	2042	3965
340	2047	3956
341	2052	3948
342	2056	3940
343	2062	3932
344	2066	3923
345	2070	3914
346	2076	3908
347	2081	3899
348	2086	3892
349	2091	3884
350	2096	3876
351	2102	3870
352	2107	3863
353	2113	3856
354	2118	3849
355	2123	3841
356	2128	3833
357	2133	3826
358	2138	3818
359	2144	3811
360	2149	3804
361	2155	3799
362	2161	3792
363	2165	3783
364	2170	3776
365	2175	3769
366	2180	3761
367	2185	3753
368	2190	3746
369	2195	3738
370	2200	3730
371	2205	3723
372	2210	3715
373	2215	3708
374	2220	3700
375	2224	3691
376	2229	3684
377	2234	3677
378	2238	3668
379	2243	3661
380	2249	3654
381	2253	3646
382	2259	3639
383	2264	3633
384	2271	3628
385	2275	3620
386	2282	3615
387	2288	3610
388	2294	3604
389	2300	3598
390	2306	3591
391	2311	3585
392	2317	3579
393	2324	3575
394	2330	3569
395	2336	3564
396	2341	3557
397	2347	3550
398	2352	3542
399	2357	3536
400	2362	3529
401	2368	3523
402	2373	3516
403	2378	3508
404	2383	3501
405	2388	3494
406	2392	3486
407	2397	3478
408	2401	3470
409	2406	3462
410	2411	3456
411	2415	3448
412	2419	3439
413	2424	3431
414	2429	3424
415	2433	3416
416	2438	3408
417	2443	3401
